Date,Actual_HHS_Load,RF_Forecast,GB_Forecast,SARIMA_Forecast
2025-05-18,2437.0,2397.182861111111,2400.9474597982253,2428.577459556446
2025-05-19,2457.0,2399.2489166666664,2414.8004080451606,2465.858203172417
2025-05-21,2467.0,2474.849488095238,2479.453138784193,2440.8739708170733
2025-05-22,2473.0,2400.9184166666664,2401.3839919717634,2472.55652980713
2025-05-27,2504.0,2401.851988095238,2403.32400825721,2454.313083894234
2025-05-28,2499.0,2405.8833214285714,2404.49059954254,2472.776788652076
2025-05-29,2506.0,2405.55725,2405.950087796275,2473.9245359347588
2025-06-01,2528.0,2404.3047500000002,2407.7707158558915,2486.5134901868805
2025-06-02,2518.0,2415.5715714285716,2418.9921442263662,2520.783688722956
2025-06-03,2519.0,2404.6016547619047,2406.585390570178,2508.675459329689
2025-06-04,2516.0,2405.1028214285716,2405.9463855419035,2533.8146389010217
2025-06-05,2503.0,2403.653654761905,2401.343766049698,2520.8708351324594
2025-06-08,2507.0,2402.94725,2410.4511477974806,2534.430556776557
2025-06-09,2516.0,2402.401416666667,2411.006621388987,2539.4568025250237
2025-06-10,2511.0,2401.317404761905,2405.313076885342,2553.5876889918122
2025-06-17,2523.0,2401.144904761905,2408.403508429514,2588.6148136321062
2025-06-19,2501.0,2402.1765714285716,2408.403508429514,2573.0756543073658
2025-06-22,2508.0,2400.3755,2403.0515502994895,2599.903090941796
2025-06-23,2495.0,2402.1365714285716,2403.263525462327,2585.5256075490424
2025-06-24,2489.0,2401.2840714285717,2403.483094046817,2600.3414586157205
2025-06-25,2470.0,2399.5825,2396.4515890360153,2604.3086900770654
2025-06-26,2447.0,2397.9535,2405.222845140377,2617.9965254507474
2025-06-29,2413.0,2402.7996547619045,2401.9673678820177,2652.787553361364
2025-06-30,2407.0,2402.6653214285716,2404.2602893674707,2638.11628143343
2025-07-01,2391.0,2399.9086944444443,2395.6346491786935,2664.4621476532307
2025-07-02,2373.0,2361.6235714285717,2358.122142087751,2650.4260895449347
2025-07-06,2332.0,2366.705765873016,2349.0895585741637,2664.8743196028195
2025-07-07,2317.0,2340.2851944444446,2342.587319822873,2669.0842459725914
2025-07-08,2306.0,2316.731958333333,2315.1060730942922,2682.8524191936017
2025-07-09,2281.0,2313.8350833333334,2302.8363588103025,2717.669247240821
2025-07-10,2252.0,2296.124875,2274.921534956816,2702.7327705271923
